t_us,ch1,ch2,ch3,ch4,pc_time,label
367644163,1428,863,1075,1272,1770289238.6147158,center
367648163,1367,803,988,1189,1770289238.618639,center
367652164,1355,850,1053,1211,1770289238.62275,center
367656164,1421,920,1136,1304,1770289238.626755,center
367660162,1439,886,1105,1296,1770289238.630729,center
367664162,1362,794,978,1188,1770289238.63466,center
367668163,1354,848,1047,1208,1770289238.6387389,center
367672164,1403,907,1123,1290,1770289238.6427689,center
367676164,1440,902,1122,1309,1770289238.6467872,center
367680162,1352,783,964,1175,1770289238.650738,center
367684162,1353,854,1054,1209,1770289238.654728,center
367688163,1402,900,1118,1283,1770289238.658777,center
367692164,1447,910,1132,1319,1770289238.6627672,center
367696164,1373,793,980,1195,1770289238.666663,center
367700162,1363,847,1041,1211,1770289238.670794,center
367704162,1393,887,1107,1268,1770289238.674813,center
367708163,1454,915,1131,1314,1770289238.678846,center
367712164,1400,820,1017,1219,1770289238.682761,center
367716162,1374,840,1030,1211,1770289238.686836,center
367720162,1388,874,1083,1247,1770289238.690806,center
367724162,1447,922,1135,1311,1770289238.6948538,center
367728163,1412,841,1047,1234,1770289238.698859,center
367732164,1370,826,1016,1199,1770289238.702883,center
367736164,1371,861,1064,1225,1770289238.7068439,center
367740162,1436,923,1138,1310,1770289238.710866,center
367744162,1423,856,1069,1255,1770289238.7148428,center
367748163,1364,810,997,1195,1770289238.71882,center
367752164,1361,854,1057,1218,1770289238.722854,center
367756164,1428,924,1138,1309,1770289238.726896,center
367760162,1433,876,1094,1285,1770289238.730879,center
367764163,1356,797,983,1187,1770289238.734802,center
367768163,1351,849,1049,1205,1770289238.7389581,center
367772164,1408,909,1120,1290,1770289238.742931,center
367776162,1438,898,1117,1307,1770289238.746979,center
367780162,1357,787,976,1187,1770289238.7508311,center
367784162,1352,850,1048,1209,1770289238.7548769,center
367788163,1403,903,1119,1285,1770289238.75899,center
367792164,1443,907,1125,1312,1770289238.7630022,center
367796162,1359,784,970,1179,1770289238.766847,center
367800162,1354,852,1054,1214,1770289238.770981,center
367804163,1392,892,1113,1277,1770289238.774985,center
367808163,1454,915,1131,1316,1770289238.779009,center
367812164,1388,810,1002,1212,1770289238.782974,center
367816162,1370,844,1040,1211,1770289238.7869701,center
367820163,1389,880,1097,1257,1770289238.7909389,center
367824163,1449,919,1135,1313,1770289238.795336,center
367828164,1407,834,1035,1228,1770289238.798982,center
367832162,1371,832,1026,1201,1770289238.803008,center
367836162,1378,867,1075,1239,1770289238.807056,center
367840163,1445,927,1138,1316,1770289238.8110359,center
367844163,1426,852,1062,1252,1770289238.815012,center
367848164,1372,815,1003,1199,1770289238.8189828,center
367852162,1366,856,1058,1221,1770289238.8229492,center
367856162,1438,928,1143,1317,1770289238.827039,center
367860163,1430,865,1080,1274,1770289238.831019,center
367864163,1366,801,986,1188,1770289238.83497,center
367868164,1355,851,1054,1212,1770289238.839021,center
367872162,1413,915,1129,1300,1770289238.843039,center
